P;54881351;201;5;270;070219
P;54881351;400;5;480;070219
P;54881351;401;1;470;070219
P;59284462;401;2;470;070219
P;59284462;301;1;360;070219
P;54881351;301;10;360;070219
P;54881351;400;10;480;070219
P;54881351;100;10;150;070219
P;54881351;101;15;160;070219
P;54881351;301;3;360;070219
P;54881351;201;3;270;070219
P;59284462;201;3;270;070219
P;54881351;100;2;150;070219
P;54881351;100;3;150;070219
P;54881351;100;4;150;070219
P;54881351;301;8;360;070219
P;54881351;100;10;150;080219
P;54881351;301;7;360;080219
